"Item ID",Category,"Item Name",Variation,"Online Display Name","Item Type",Price,Description,Dietary,"Short Code","Sap Code","HSN Code",Weight,"Weight Unit",Rank,"Packing Charges","Expose in Captain",Goods/Services,"Short Code Two","Allow Decimal Qty","Manufacturing Date (DD-MM-YYYY)","Expiry Date (DD-MM-YYYY)","Dine-In QR"
1286069392,Mocktails,"Banana Milkshake",,,item,60.00,"A refreshing banana-flavored mocktail.",veg,"banana milkshake",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069393,Mocktails,"Chickoo / Sapota",,,item,80.00,"A sweet mocktail made from chickoo (sapota).",veg,"chickoo / sapota",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069394,Mocktails,Sapota,,sapota,item,70.00,"A sweet mocktail made from chickoo (sapota).",veg,~24,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069395,Mocktails,"Musk Melon",,,item,60.00,"A cool and refreshing musk melon mocktail.",veg,"musk melon",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069396,Mocktails,Anar,,,item,80.00,"A delightful blend of pomegranate (anar) and apple in a mocktail.",veg,anar,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069397,Mocktails,"Apple Shake",,,item,80.00,"A delightful blend of pomegranate (anar) and apple in a mocktail.",veg,"apple shake",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069398,Mocktails,Avocado,,,item,80.00,"A creamy mocktail featuring avocado, also known as butter fruit.",veg,~5,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069399,Mocktails,"Butter Fruit",,"butter fruit",item,80.00,"A creamy mocktail featuring avocado, also known as butter fruit.",veg,~29,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069400,Mocktails,"Mango Avocado",,"mango avocado",item,80.00,"A tropical mocktail combining mango and creamy avocado.",veg,~30,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069401,Mocktails,"Strawberry Avocado",,"strawberry avocado",item,80.00,"A unique mocktail with the sweet tartness of strawberry and creamy avocado.",veg,~31,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069402,Mocktails,"Frozen Bourbon",,"frozen bourbon",item,90.00,"A chilled and refreshing mocktail with a bourbon flavor profile.",veg,~32,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069403,Mocktails,"Hopschotch Butterscotch",,"hopschotch butterscotch",item,90.00,"A sweet and fun mocktail with a butterscotch flavor.",veg,~33,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069404,Mocktails,"Blue Berry Dryfruit",,"blue berry dryfruit",item,130.00,"A mocktail blending blueberry and dry fruit flavors.",veg,~34,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069405,Mocktails,"Blue Berry Lychee",,"blue berry lychee",item,130.00,"A sweet and tangy mocktail with blueberry and lychee.",veg,~35,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069406,Mocktails,"Lychee & Lychee",,"lychee & lychee",item,130.00,"A mocktail featuring a double dose of refreshing lychee flavor.",veg,~36,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069407,Mocktails,"Lychee & Mango",,"lychee & mango",item,130.00,"A tropical mocktail combining sweet lychee and ripe mango.",veg,~37,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069408,Mocktails,"Berry Blue Berry Shake",,"berry blue berry shake",item,120.00,"A sweet shake with mixed berries and blueberries.",veg,~38,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069409,Mocktails,"Nutella Shake",,"nutella shake",item,130.00,"A creamy and rich shake made with Nutella.",veg,~39,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069410,"Cold Coffees","Hard Rock Coffee",,,item,70.00,"A strong and invigorating cold coffee.",veg,~40,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069411,"Cold Coffees","Coffee On The Rocks",,,item,70.00,"A classic cold coffee served over ice.",veg,~41,,,,,1,0,Yes,,,Yes,,,Yes
1286069412,"Cold Coffees","Swedish House Mafia",,,item,80.00,"A unique cold coffee creation named after the popular music group.",veg,~42,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069413,"Cold Coffees","Mud Coffee",,,item,100.00,"A thick and rich cold coffee, similar to a 'mudslide' consistency.",veg,~43,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069414,"Cold Coffees","Ferrerro Coffee",,,item,100.00,"A luxurious cold coffee flavored with Ferrero Rocher or Belgian chocolate notes.",veg,~44,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069415,"Cold Coffees","Belgium Coffee",,,item,100.00,"A luxurious cold coffee flavored with Ferrero Rocher or Belgian chocolate notes.",veg,~45,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069416,Specials,"Fruit Overload",,,item,140.00,"A special dessert featuring a generous amount of fresh fruits, perfect for fruit lovers.",veg,~46,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069417,Specials,"Boat Sundae",,,item,140.00,"A delightful sundae served in a boat-shaped dish, offering a classic dessert experience.",veg,~47,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069418,Specials,"Banana Split",,,item,140.00,"A traditional dessert with a banana split lengthwise, complemented by scoops of ice cream and sweet toppings.",veg,~48,,,,,1,0,Yes,,,Yes,,,Yes
1286069419,Mocktails,"Banana Bonkers",,,item,70.00,"A refreshing mocktail featuring the sweet and creamy flavor of banana.",veg,~49,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069420,Mocktails,"Belgian Chocolate",,,item,70.00,"A rich and indulgent mocktail crafted with the decadent taste of Belgian chocolate.",veg,~50,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069421,Mocktails,"Mango Alphonso",,,item,70.00,"A tropical mocktail highlighting the sweet and aromatic flavor of Alphonso mango.",veg,~51,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069422,Mocktails,"Very Bery Strawberry",,,item,70.00,"A delightful mocktail bursting with the sweet and fruity essence of fresh strawberries.",veg,~6,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069423,Mocktails,"Ferraro Automatic",,,item,70.00,"A unique and luxurious mocktail inspired by the classic Ferraro Rocher chocolate.",veg,~53,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069424,Mocktails,"Green Mojito",,,item,70.00,"A refreshing mocktail available in vibrant green or rich kesar pista flavors.",veg,~54,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069425,Mocktails,"Kesar Pista Shake",,"kesar pista shake",item,70.00,"A refreshing mocktail available in vibrant green or rich kesar pista flavors.",veg,~55,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069426,Mocktails,"Tropical Mixfruit",,"tropical mixfruit",item,70.00,"A lively mocktail blending a variety of sweet and tangy tropical fruits.",veg,~56,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069427,Mocktails,"Vanilla Shake",,"vanilla shake",item,70.00,"A smooth and classic mocktail with the sweet and comforting flavor of vanilla.",veg,~57,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069428,Mocktails,"Body Cooler",,"body cooler",item,70.00,"A revitalizing mocktail designed to cool and refresh, perfect for hot days.",veg,~58,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069429,Mocktails,"Mango Strawberry",,"mango strawberry",item,80.00,"A delightful mocktail combining the sweet richness of mango with the fresh tartness of strawberry.",veg,~59,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069430,Mocktails,"Belgian Chips",,"belgian chips",item,80.00,"A unique mocktail featuring the distinctive flavor inspired by Belgian chocolate chips.",veg,~60,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069431,Mocktails,"Brownie Shake",,"brownie shake",item,90.00,"A rich and creamy shake infused with the irresistible taste of chocolate brownies.",veg,~61,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069432,Mocktails,"Oreo Shake",,"oroe shake",item,90.00,"A delicious and creamy shake featuring the popular cookie flavor, Oroe.",veg,~62,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069433,Mocktails,"Strawberry With Ice",,"strawberry with ice",item,90.00,"A chilled and refreshing drink made with fresh strawberries, served over ice.",veg,~63,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069434,Mocktails,"Tender Coconut",,"tender coconut",item,90.00,"A natural and hydrating drink made from the refreshing water of tender coconuts.",veg,~64,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069435,Mocktails,Sharjah,,sharjah,item,90.00,"A popular and refreshing Sharjah-style drink, often a blend of fruits and milk.",veg,~65,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069436,Mocktails,"Dry Fruit Shake",,,item,0,"A nutritious and energy-boosting shake blended with a rich assortment of dry fruits.",veg,~66,,"	",,,1,0,Yes,,,Yes,,,Yes
1306258249,Mocktails,"Dry Fruit Shake (Small)",Small,,variation,130.00,"A nutritious and energy-boosting shake blended with a rich assortment of dry fruits.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069437,Mocktails,"Mississippi Mud",,,item,100.00,"A decadent and rich shake, inspired by the classic Mississippi Mud dessert.",veg,"mississippi mud",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069438,Mocktails,"Oreo Mud",,"oreo mud",item,100.00,"A delightful shake combining the flavors of rich Oreo mud and crunchy Kitkat.",veg,~68,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069439,Mocktails,"Kitkat Mud",,"kitkat mud",item,100.00,"A delightful shake combining the flavors of rich Oreo mud and crunchy Kitkat.",veg,~69,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069440,Mocktails,"Choco More Chocolate",,"choco more chocolate",item,100.00,"An intensely rich and extra chocolatey shake for true chocolate enthusiasts.",veg,~70,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069441,Mocktails,"Black Current Shake",,"black current shake",item,100.00,"A sweet and tangy shake made with the distinct flavor of black current berries.",veg,~71,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069442,"Fresh Juice","Pineapple Juice",,,item,60.00,"A refreshing and tangy juice made from fresh pineapples.",veg,~72,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069443,"Fresh Juice","Water Melon Juice",,,item,60.00,"A hydrating and sweet juice made from fresh watermelon.",veg,~73,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069444,"Fresh Juice","Mosambi Juice",,,item,60.00,"A sweet and slightly tart juice made from fresh mosambi (sweet lime).",veg,~74,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069445,"Fresh Juice","Musk Melon Juice",,,item,60.00,"A fragrant and sweet juice made from fresh musk melon.",veg,~75,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069446,"Lime Juices","Fresh Lime Juice",,,item,50.00,"A classic and zesty juice made from freshly squeezed limes.",veg,~76,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069447,"Lime Juices","Jaljeera Lime Juice",,,item,60.00,"A tangy and spicy lime juice infused with traditional jaljeera masala.",veg,~77,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069448,"Lime Juices","Ginger Lime Juice",,,item,50.00,"A refreshing lime juice with a warm, spicy kick of ginger.",veg,~78,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069449,"Lime Juices","Morocan Mint Lime Juice",,,item,60.00,"A cool and invigorating lime juice infused with aromatic Moroccan mint.",veg,~79,,,,,1,0,Yes,,,Yes,,,Yes
1286069450,Lassis,"Sweet Lassi",,,item,50.00,"A traditional Indian yogurt-based drink, sweet and creamy.",veg,~80,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069451,Lassis,"Banana Lassi",,,item,60.00,"A creamy and wholesome lassi blended with fresh bananas.",veg,~81,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069452,Lassis,"Mango Lassi",,,item,60.00,"A rich and fruity lassi made with sweet mango pulp.",veg,~82,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069453,Lassis,"Fruit Lassi",,,item,70.00,"A refreshing lassi blended with a medley of various fruits.",veg,~83,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069454,Lassis,"Strawberry Lassi",,,item,70.00,"A delightful and creamy lassi featuring the sweet taste of strawberries.",veg,~84,,,,,1,0,Yes,,,Yes,,,Yes
1286069455,Lassis,"Chocolate Lassi",,,item,70.00,"A decadent lassi with a rich and satisfying chocolate flavor.",veg,~85,,,,,1,0,Yes,,,Yes,,,Yes
1286069456,Lassis,"Saffron Lassi",,,item,70.00,"A luxurious lassi infused with the delicate aroma and color of saffron.",veg,~86,,,,,1,0,Yes,,,Yes,,,Yes
1286069457,Lassis,"Dry Fruit Lassi",,,item,100.00,"A nutritious and rich lassi blended with a variety of healthy dry fruits.",veg,~87,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069458,Lassis,"Shahi Lassi",,,item,100.00,"A royal and indulgent lassi, often richer and creamier with added nuts.",veg,~88,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069459,Faloodas,"Cream Falooda",,,item,90.00,"A popular Indian cold dessert drink with vermicelli, basil seeds, and cream.",veg,~89,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069460,Faloodas,"Kesar Falooda",,,item,100.00,"A fragrant and delicious falooda flavored with aromatic saffron (kesar).",veg,~90,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069461,Sodas,"Sweet Lime Soda",,,item,70.00,"A refreshing lime soda, available in your choice of sweet or salty preparation.",veg,~91,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069462,Sodas,"Salt Lime Soda",,,item,70.00,"A refreshing lime soda, available in your choice of sweet or salty preparation.",veg,~92,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069463,Sodas,"Blue Lime Soda",,,item,70.00,"A vibrant and refreshing lime soda with a striking blue color.",veg,~93,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069464,Sodas,"Ginger Lime Soda",,,item,70.00,"A zesty and invigorating lime soda with a hint of spicy ginger.",veg,~94,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069465,Sodas,"Masala Lime Soda",,,item,70.00,"A tangy and spiced lime soda, infused with traditional Indian masalas.",veg,~95,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069466,Sodas,"Jaljeera Lime Soda",,,item,70.00,"A refreshing and tangy lime soda with the distinctive flavor of jaljeera.",veg,~96,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069467,Sodas,"Berry Pepper Shot",,,item,70.00,"A unique and zesty shot combining fruity berry flavors with a hint of pepper.",veg,~97,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069468,Sodas,"Blue Lime",,,item,70.00,"A vibrant and refreshing blue-colored drink with a zesty lime flavor.",veg,~98,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069469,Sodas,"Red Lime",,,item,70.00,"A refreshing and visually appealing red-colored drink with a tangy lime taste.",veg,~99,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069470,Sodas,"Purple Lime",,,item,70.00,"A unique and refreshing purple-colored drink with a zesty lime flavor.",veg,~100,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069471,Mojitos,"Blue Lime Mojito",,,item,70.00,"A cool and refreshing mojito featuring vibrant blue lime flavor.",veg,~101,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069472,Mojitos,"Blue Berry Mojito",,,item,70.00,"A sweet and tangy mojito made with juicy blueberries and refreshing mint.",veg,~102,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069473,Mojitos,"Mint Lime Mojito",,,item,70.00,"A classic and invigorating mojito with fresh mint and zesty lime.",veg,~103,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069474,Mojitos,"Pineapple Lime Mojito",,,item,70.00,"A tropical and refreshing mojito combining sweet pineapple with tangy lime.",veg,~104,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069475,Specials,"Avocado Dry Fruits",,,item,140.00,"A unique special blend featuring creamy avocado and a mix of nutritious dry fruits.",veg,~105,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069476,Specials,"Chocolate Master Shake",,,item,150.00,"A expertly crafted, rich and luxurious chocolate shake.",veg,~106,,,,,1,0,Yes,,,Yes,,,Yes
1286069477,Specials,"Vanilla Master Shake",,,item,150.00,"A perfectly blended, classic vanilla shake crafted by a master.",veg,~107,,,,,1,0,Yes,,,Yes,,,Yes
1286069478,Specials,"Strawberry Master Shake",,,item,150.00,"A skillfully prepared shake highlighting the sweet and fresh taste of strawberries.",veg,~108,,,,,1,0,Yes,,,Yes,,,Yes
1286069479,Specials,"Mango Master Shake",,,item,150.00,"A masterfully crafted shake featuring the rich and tropical flavor of mango.",veg,~109,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069480,Specials,"Watermelon Sundae",,,item,320.00,"A refreshing and sweet sundae featuring fresh and juicy watermelon.",veg,~110,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069481,Faloodas,"Kulfi Falooda",,,item,100.00,"A sweet Indian dessert drink with Kulfi.",veg,~111,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069482,Faloodas,"Anjeer Falooda",,,item,100.00,"A sweet Indian dessert drink with figs.",veg,~112,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069483,Faloodas,"Delhi Style Falooda",,,item,100.00,"A sweet Indian dessert drink prepared in Delhi style.",veg,~113,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069484,Faloodas,"Mango Falooda",,,item,100.00,"A sweet Indian dessert drink featuring mango.",veg,~114,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069485,Faloodas,"Desert Falooda",,,item,100.00,"A sweet Indian dessert drink featuring mango.",veg,~115,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069486,Faloodas,"Royal Falooda",,,item,130.00,"A rich and grand sweet Indian dessert drink.",veg,~116,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069487,Kulfis,"Malai Kulfi",,,item,50.00,"Traditional Indian frozen dairy dessert with creamy malai flavor.",veg,"Malai Kulfi",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069488,Kulfis,"Badam Kulfi",,,item,50.00,"Traditional Indian frozen dairy dessert with almond flavor.",veg,"Badam Kulfi",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069489,Kulfis,"Pista Kulfi",,,item,50.00,"Traditional Indian frozen dairy dessert with pistachio flavor.",veg,"Pista Kulfi",,"	",,,1,0,Yes,,,Yes,,,Yes
1286069490,Protein,"Natural Whey Protein",,,item,80.00,"A natural protein supplement derived from whey.",veg,~120,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069491,Protein,"Whey Protein",,,item,100.00,"A protein supplement derived from whey.",veg,~121,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069492,Smoothies,"Banana Smoothies",,,item,90.00,"A refreshing blend of banana.",veg,~122,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069493,Smoothies,"Mango Smoothies",,,item,90.00,"A refreshing blend of fresh mango.",veg,~123,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069494,Smoothies,"Strawberry Smoothies",,,item,90.00,"A refreshing blend of strawberries.",veg,~124,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069495,Smoothies,"Blueberry Smoothies",,,item,100.00,"A refreshing blend of blueberries.",veg,~125,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069496,Snacks,"French Fries",,,item,0,"Crispy fried potato sticks, available in small and large portions.",veg,~126,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069534,Snacks,"French Fries (small)",small,,variation,80.00,"Crispy fried potato sticks, available in small and large portions.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069535,Snacks,"French Fries (large)",large,,variation,150.00,"Crispy fried potato sticks, available in small and large portions.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069497,Snacks,"Masala French Fries",,,item,0,"French fries seasoned with a special blend of masala spices.",veg,~129,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069536,Snacks,"Masala French Fries (Regular)",Regular,,variation,100.00,"French fries seasoned with a special blend of masala spices.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069537,Snacks,"Masala French Fries (large)",large,,variation,190.00,"French fries seasoned with a special blend of masala spices.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069498,Snacks,"Cheese Mayo Fries",,,item,0,"Crispy fries topped with a creamy cheese and mayonnaise sauce.",veg,~132,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069538,Snacks,"Cheese Mayo Fries (Regular)",Regular,,variation,100.00,"Crispy fries topped with a creamy cheese and mayonnaise sauce.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069539,Snacks,"Cheese Mayo Fries (large)",large,,variation,200.00,"Crispy fries topped with a creamy cheese and mayonnaise sauce.",veg,,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069499,Snacks,"Sweet Corn",,,item,60.00,"Boiled sweet corn kernels, a simple and tasty snack.",veg,~135,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069500,Snacks,"Masala Sweet Corn",,,item,60.00,"Sweet corn kernels seasoned with a flavorful masala spice blend.",veg,~136,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069501,Snacks,"Aloo Tikki",,,item,90.00,"Spiced potato patty, fried until golden and crispy.",veg,~137,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069502,Snacks,"Potato Wedges",,,item,90.00,"Thick-cut potato wedges, seasoned and fried to perfection.",veg,~138,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069503,Snacks,"Potato Smileys",,,item,90.00,"Fun, smile-shaped potato bites, crispy on the outside and soft inside.",veg,~139,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069504,Snacks,"Veg Nuggets",,,item,90.00,"Crispy fried nuggets made with a mix of vegetables.",veg,~140,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069505,Snacks,"Veggie Finger",,,item,90.00,"Long, crispy sticks made from mixed vegetables.",veg,~141,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069506,Snacks,"Chesse Mini Samosa",,,item,90.00,"Small, crispy samosas filled with savory cheese.",veg,~142,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069507,Snacks,"Garlic Potato Pops",,,item,90.00,"Bite-sized potato snacks infused with garlic flavor.",veg,~143,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069508,Snacks,"Chesse Shots",,,item,90.00,"Crispy, cheesy bites, perfect for a quick snack.",veg,~144,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069509,Snacks,"Chicken Loaded",,,item,170.00,"Delicious chicken prepared in two exciting flavors: classic or spicy Peri Peri.",non-veg,~231,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069510,Snacks,"Peri Peri Chicken Loaded",,,item,190.00,"Delicious chicken prepared in two exciting flavors: classic or spicy Peri Peri.",non-veg,~232,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069511,Sandwichs,"Plain Veg Sandwich",,"plain veg sandwich",item,90.00,"A simple vegetarian sandwich, a classic and light meal option.",veg,~147,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069512,Sandwichs,"Veg Chesse Sandwich",,,item,100.00,"A delicious vegetarian sandwich filled with cheese and mixed vegetables.",veg,~148,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069513,Sandwichs,"Corn Chesse Sandwich",,,item,100.00,"A delightful sandwich combining the sweetness of corn with savory cheese.",veg,~149,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069514,Sandwichs,"Paneer Cheese Sandwich",,,item,120.00,"A rich and flavorful sandwich featuring Indian paneer cheese.",veg,~150,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069515,Sandwichs,"Chicken Cheese Sandwich",,,item,120.00,"A savory sandwich packed with flavorful chicken and melted cheese.",non-veg,~151,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069516,Burger,"Veg Chesse Burger",,,item,100.00,"A delicious vegetarian cheese burger.",veg,~152,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069517,Burger,"Veg Chesse Burger Jumbo",,,item,120.00,"A larger vegetarian cheese burger.",veg,~153,,"	",,,1,0,Yes,,,Yes,,,Yes
